year,geo_code,county,total_households,households_100k_to_149999k,households_150k_to_199999k,households_200k_or_more,percent_wealthy_households,total_wealthy_households
2022,0500000US13169,"Jones County, Georgia",10581,0.18,0.08,0.04,0.3,3185
2022,0500000US13171,"Lamar County, Georgia",6918,0.15,0.08,0.06,0.29,1992
2022,0500000US13173,"Lanier County, Georgia",3544,0.14,0.03,0.03,0.2,705
2022,0500000US13175,"Laurens County, Georgia",17813,0.14,0.04,0.04,0.23,4026
2022,0500000US13177,"Lee County, Georgia",11806,0.23,0.1,0.06,0.39,4640
2022,0500000US13179,"Liberty County, Georgia",22975,0.13,0.06,0.03,0.21,4710
2022,0500000US13181,"Lincoln County, Georgia",3015,0.16,0.07,0.04,0.27,820
2022,0500000US13183,"Long County, Georgia",5547,0.17,0.04,0.03,0.24,1326
2022,0500000US13185,"Lowndes County, Georgia",43720,0.13,0.05,0.04,0.23,9837
2022,0500000US13187,"Lumpkin County, Georgia",11450,0.15,0.09,0.06,0.3,3458
2022,0500000US13189,"McDuffie County, Georgia",8212,0.13,0.07,0.03,0.23,1913
2022,0500000US13191,"McIntosh County, Georgia",4786,0.1,0.05,0.03,0.18,866
2022,0500000US13193,"Macon County, Georgia",3985,0.08,0.02,0.02,0.13,510
2022,0500000US13195,"Madison County, Georgia",10883,0.16,0.05,0.04,0.26,2819
2022,0500000US13197,"Marion County, Georgia",2872,0.09,0.04,0.03,0.16,460
2022,0500000US13199,"Meriwether County, Georgia",8106,0.1,0.03,0.02,0.15,1216
2022,0500000US13201,"Miller County, Georgia",2531,0.15,0.05,0.02,0.22,559
2022,0500000US13205,"Mitchell County, Georgia",7924,0.09,0.05,0.03,0.16,1284
2022,0500000US13207,"Monroe County, Georgia",10248,0.18,0.09,0.1,0.37,3761
2022,0500000US13209,"Montgomery County, Georgia",2966,0.09,0.06,0.08,0.22,655
2022,0500000US13211,"Morgan County, Georgia",7587,0.18,0.12,0.08,0.38,2883
2022,0500000US13213,"Murray County, Georgia",14859,0.13,0.04,0.05,0.22,3314
2022,0500000US13215,"Muscogee County, Georgia",79856,0.12,0.05,0.06,0.23,17968
2022,0500000US13217,"Newton County, Georgia",39906,0.18,0.07,0.05,0.3,12092
2022,0500000US13219,"Oconee County, Georgia",14330,0.21,0.14,0.22,0.56,8068
2022,0500000US13221,"Oglethorpe County, Georgia",5273,0.14,0.06,0.06,0.27,1397
2022,0500000US13223,"Paulding County, Georgia",56715,0.24,0.12,0.07,0.43,24501
2022,0500000US13225,"Peach County, Georgia",10164,0.19,0.07,0.05,0.31,3100
2022,0500000US13227,"Pickens County, Georgia",13042,0.21,0.06,0.06,0.34,4395
2022,0500000US13229,"Pierce County, Georgia",7460,0.12,0.04,0.04,0.2,1522
2022,0500000US13231,"Pike County, Georgia",6445,0.23,0.08,0.09,0.4,2604
2022,0500000US13233,"Polk County, Georgia",15517,0.13,0.05,0.04,0.22,3460
2022,0500000US13235,"Pulaski County, Georgia",3117,0.15,0.05,0.01,0.21,661
2022,0500000US13237,"Putnam County, Georgia",9852,0.13,0.09,0.08,0.29,2887
2022,0500000US13239,"Quitman County, Georgia",958,0.1,0,0.03,0.14,131
2022,0500000US13241,"Rabun County, Georgia",7020,0.13,0.05,0.07,0.25,1755
2022,0500000US13243,"Randolph County, Georgia",2553,0.08,0.02,0.01,0.1,255
2022,0500000US13245,"Richmond County, Georgia",74028,0.12,0.04,0.05,0.2,15102
2022,0500000US13247,"Rockdale County, Georgia",33240,0.16,0.08,0.07,0.31,10437
2022,0500000US13249,"Schley County, Georgia",1578,0.13,0.05,0.03,0.21,325
2022,0500000US13251,"Screven County, Georgia",4727,0.13,0.07,0.04,0.24,1116
2022,0500000US13253,"Seminole County, Georgia",3653,0.12,0.06,0.04,0.21,778
2022,0500000US13255,"Spalding County, Georgia",26303,0.13,0.04,0.06,0.23,5971
2022,0500000US13257,"Stephens County, Georgia",10213,0.13,0.05,0.02,0.2,2043
2022,0500000US13259,"Stewart County, Georgia",1738,0.14,0.02,0.01,0.17,289
2022,0500000US13261,"Sumter County, Georgia",10639,0.11,0.04,0.03,0.17,1819
2022,0500000US13263,"Talbot County, Georgia",2538,0.09,0.03,0.05,0.17,434
2022,0500000US13265,"Taliaferro County, Georgia",643,0.06,0.04,0.01,0.11,71
2022,0500000US13267,"Tattnall County, Georgia",7552,0.13,0.04,0.04,0.21,1563
2022,0500000US13269,"Taylor County, Georgia",3048,0.11,0.03,0.04,0.18,536
2022,0500000US13271,"Telfair County, Georgia",2948,0.09,0.03,0.02,0.14,410
2022,0500000US13273,"Terrell County, Georgia",3300,0.13,0.03,0.02,0.18,597
2022,0500000US13275,"Thomas County, Georgia",18168,0.14,0.06,0.06,0.26,4706
2022,0500000US13277,"Tift County, Georgia",15328,0.14,0.07,0.03,0.24,3648
2022,0500000US13279,"Toombs County, Georgia",9754,0.14,0.04,0.03,0.21,2058
2022,0500000US13281,"Towns County, Georgia",5464,0.12,0.05,0.05,0.22,1208
2022,0500000US13283,"Treutlen County, Georgia",2295,0.12,0.03,0.04,0.19,445
2022,0500000US13285,"Troup County, Georgia",25587,0.16,0.05,0.06,0.26,6550
2022,0500000US13287,"Turner County, Georgia",3121,0.09,0.05,0.02,0.15,481
2022,0500000US13289,"Twiggs County, Georgia",2900,0.11,0.05,0.07,0.23,664
2022,0500000US13291,"Union County, Georgia",10759,0.14,0.07,0.07,0.28,3013
2022,0500000US13293,"Upson County, Georgia",10412,0.13,0.06,0.04,0.22,2332
2022,0500000US13295,"Walker County, Georgia",26087,0.12,0.04,0.04,0.19,5061
2022,0500000US13297,"Walton County, Georgia",34070,0.2,0.09,0.08,0.37,12640
2022,0500000US13299,"Ware County, Georgia",12756,0.1,0.02,0.03,0.15,1901
2022,0500000US13301,"Warren County, Georgia",1945,0.11,0.02,0.02,0.15,292
2022,0500000US13303,"Washington County, Georgia",7256,0.14,0.05,0.02,0.21,1487
2022,0500000US13305,"Wayne County, Georgia",10754,0.12,0.07,0.02,0.21,2291
2022,0500000US13307,"Webster County, Georgia",876,0.08,0.06,0,0.14,124
2022,0500000US13309,"Wheeler County, Georgia",1597,0.05,0.03,0.01,0.09,150
2022,0500000US13311,"White County, Georgia",10344,0.16,0.06,0.05,0.26,2731
2022,0500000US13313,"Whitfield County, Georgia",35797,0.15,0.05,0.05,0.25,8770
2022,0500000US13315,"Wilcox County, Georgia",2499,0.09,0.06,0.02,0.17,417
2022,0500000US13317,"Wilkes County, Georgia",4032,0.15,0.02,0.02,0.2,786
2022,0500000US13319,"Wilkinson County, Georgia",3313,0.1,0.03,0.03,0.15,497
2022,0500000US13321,"Worth County, Georgia",7896,0.16,0.03,0.03,0.23,1777
2022,0500000US15001,"Hawaii County, Hawaii",72468,0.18,0.09,0.1,0.37,26596
2022,0500000US15003,"Honolulu County, Hawaii",333700,0.2,0.12,0.17,0.5,166516
2022,0500000US15005,"Kalawao County, Hawaii",32,0.09,0.13,0,0.22,7
2022,0500000US15007,"Kauai County, Hawaii",22978,0.21,0.11,0.13,0.45,10294
2022,0500000US15009,"Maui County, Hawaii",54728,0.21,0.12,0.16,0.48,26379
2022,0500000US16001,"Ada County, Idaho",190641,0.19,0.09,0.12,0.41,77210
2022,0500000US16003,"Adams County, Idaho",1687,0.1,0.04,0.1,0.24,396
2022,0500000US16005,"Bannock County, Idaho",32704,0.16,0.07,0.05,0.27,8830
2022,0500000US16007,"Bear Lake County, Idaho",2323,0.18,0.05,0.05,0.27,637
2022,0500000US16009,"Benewah County, Idaho",3826,0.1,0.04,0.04,0.18,693
2022,0500000US16011,"Bingham County, Idaho",15627,0.19,0.07,0.05,0.32,4969
2022,0500000US16013,"Blaine County, Idaho",9298,0.17,0.07,0.11,0.34,3180
2022,0500000US16015,"Boise County, Idaho",3396,0.18,0.08,0.04,0.3,1022
2022,0500000US16017,"Bonner County, Idaho",19228,0.15,0.06,0.07,0.27,5268
